rank,char,count,ratio,cumulative_ratio
1,的,498,0.0320959,0.0320959
2,数,223,0.01437226,0.04646816
3,一,189,0.01218097,0.05864914
4,是,173,0.01114978,0.06979892
5,不,158,0.01018304,0.07998195
6,我,157,0.01011859,0.09010054
7,个,142,0.00915184,0.09925238
8,用,128,0.00824955,0.10750193
9,为,118,0.00760505,0.11510699
10,有,117,0.0075406,0.12264759
11,了,101,0.00650941,0.129157
12,文,99,0.00638051,0.13553751
13,算,94,0.00605826,0.14159577
14,后,93,0.00599381,0.14758958
15,符,92,0.00592936,0.15351895
16,在,91,0.00586491,0.15938386
17,作,90,0.00580046,0.16518433
18,自,87,0.00560712,0.17079144
19,面,80,0.00515597,0.17594741
20,如,79,0.00509152,0.18103893
21,到,78,0.00502707,0.186066
22,件,76,0.00489817,0.19096417
23,主,76,0.00489817,0.19586234
24,博,75,0.00483372,0.20069606
25,和,75,0.00483372,0.20552978
26,题,73,0.00470482,0.2102346
27,中,73,0.00470482,0.21493942
28,于,71,0.00457592,0.21951534
29,位,70,0.00451147,0.22402681
30,与,70,0.00451147,0.22853828
31,可,69,0.00444702,0.23298531
32,能,69,0.00444702,0.23743233
33,这,68,0.00438257,0.2418149
34,你,66,0.00425367,0.24606857
35,式,66,0.00425367,0.25032225
36,运,65,0.00418922,0.25451147
37,入,64,0.00412477,0.25863625
38,出,62,0.00399588,0.26263212
39,前,62,0.00399588,0.266628
40,以,62,0.00399588,0.27062387
41,很,61,0.00393143,0.2745553
42,人,61,0.00393143,0.27848672
43,第,60,0.00386698,0.2823537
44,点,60,0.00386698,0.28622068
45,果,60,0.00386698,0.29008765
46,客,60,0.00386698,0.29395463
47,本,58,0.00373808,0.2976927
48,表,56,0.00360918,0.30130188
49,开,56,0.00360918,0.30491106
50,大,55,0.00354473,0.30845579
51,定,55,0.00354473,0.31200052
52,计,55,0.00354473,0.31554524
53,时,54,0.00348028,0.31902552
54,字,54,0.00348028,0.3225058
55,操,53,0.00341583,0.32592163
56,会,53,0.00341583,0.32933746
57,或,53,0.00341583,0.33275329
58,结,51,0.00328693,0.33604022
59,值,51,0.00328693,0.33932715
60,加,50,0.00322248,0.34254963
61,下,49,0.00315803,0.34570766
62,章,49,0.00315803,0.34886569
63,成,48,0.00309358,0.35195927
64,输,48,0.00309358,0.35505285
65,多,47,0.00302913,0.35808198
66,就,47,0.00302913,0.36111111
67,目,47,0.00302913,0.36414024
68,动,46,0.00296468,0.36710492
69,对,46,0.00296468,0.37006961
70,辑,46,0.00296468,0.37303429
71,也,46,0.00296468,0.37599897
72,己,45,0.00290023,0.3788992
73,容,45,0.00290023,0.38179943
74,分,44,0.00283578,0.38463522
75,他,44,0.00283578,0.387471
76,现,44,0.00283578,0.39030678
77,行,44,0.00283578,0.39314256
78,学,44,0.00283578,0.39597834
79,要,43,0.00277133,0.39874968
80,化,42,0.00270688,0.40145656
81,看,42,0.00270688,0.40416344
82,法,41,0.00264243,0.40680588
83,内,41,0.00264243,0.40944831
84,去,41,0.00264243,0.41209075
85,上,41,0.00264243,0.41473318
86,问,41,0.00264243,0.41737561
87,发,40,0.00257798,0.4199536
88,使,40,0.00257798,0.42253158
89,写,40,0.00257798,0.42510956
90,没,39,0.00251353,0.4276231
91,始,39,0.00251353,0.43013663
92,序,38,0.00244908,0.43258572
93,标,37,0.00238464,0.43497035
94,台,37,0.00238464,0.43735499
95,插,36,0.00232019,0.43967517
96,次,36,0.00232019,0.44199536
97,从,36,0.00232019,0.44431555
98,来,36,0.00232019,0.44663573
99,类,36,0.00232019,0.44895592
100,器,36,0.00232019,0.4512761
101,按,35,0.00225574,0.45353184
102,代,35,0.00225574,0.45578757
103,相,35,0.00225574,0.45804331
104,样,35,0.00225574,0.46029905
105,别,34,0.00219129,0.46249033
106,部,34,0.00219129,0.46468162
107,二,34,0.00219129,0.46687291
108,方,34,0.00219129,0.46906419
109,换,34,0.00219129,0.47125548
110,码,34,0.00219129,0.47344676
111,其,34,0.00219129,0.47563805
112,语,34,0.00219129,0.47782934
113,编,33,0.00212684,0.47995617
114,过,33,0.00212684,0.48208301
115,里,33,0.00212684,0.48420985
116,名,33,0.00212684,0.48633668
117,请,33,0.00212684,0.48846352
118,示,33,0.00212684,0.49059036
119,同,33,0.00212684,0.4927172
120,图,33,0.00212684,0.49484403
121,因,33,0.00212684,0.49697087
122,制,33,0.00212684,0.49909771
123,好,32,0.00206239,0.50116009
124,级,32,0.00206239,0.50322248
125,天,32,0.00206239,0.50528487
126,需,32,0.00206239,0.50734725
127,友,32,0.00206239,0.50940964
128,正,32,0.00206239,0.51147203
129,常,31,0.00199794,0.51346997
130,等,31,0.00199794,0.5154679
131,更,31,0.00199794,0.51746584
132,进,31,0.00199794,0.51946378
133,么,31,0.00199794,0.52146172
134,新,31,0.00199794,0.52345965
135,置,31,0.00199794,0.52545759
136,比,30,0.00193349,0.52739108
137,达,30,0.00193349,0.52932457
138,但,29,0.00186904,0.53119361
139,得,29,0.00186904,0.53306265
140,地,29,0.00186904,0.53493168
141,度,29,0.00186904,0.53680072
142,端,29,0.00186904,0.53866976
143,记,29,0.00186904,0.5405388
144,考,29,0.00186904,0.54240784
145,逻,29,0.00186904,0.54427688
146,年,29,0.00186904,0.54614591
147,小,29,0.00186904,0.54801495
148,左,29,0.00186904,0.54988399
149,存,28,0.00180459,0.55168858
150,据,28,0.00180459,0.55349317
151,量,28,0.00180459,0.55529776
152,路,28,0.00180459,0.55710235
153,们,28,0.00180459,0.55890693
154,确,28,0.00180459,0.56071152
155,生,28,0.00180459,0.56251611
156,义,28,0.00180459,0.5643207
157,应,28,0.00180459,0.56612529
158,右,28,0.00180459,0.56792988
159,子,28,0.00180459,0.56973447
160,组,28,0.00180459,0.57153906
161,改,27,0.00174014,0.5732792
162,家,27,0.00174014,0.57501933
163,觉,27,0.00174014,0.57675947
164,理,27,0.00174014,0.57849961
165,统,27,0.00174014,0.58023975
166,站,27,0.00174014,0.58197989
